群体,模型,准确率,精确率,召回率,F1,AUC
学生,随机森林,0.828,0.6831,0.7886,0.7321,0.9091
学生,梯度提升,0.851,0.7945,0.6745,0.7296,0.9179
学生,逻辑回归,0.848,0.6973,0.8658,0.7725,0.9347
中老年,随机森林,0.8538,0.5161,0.6557,0.5776,0.8882
中老年,梯度提升,0.8775,0.65,0.4262,0.5149,0.8861
中老年,逻辑回归,0.8075,0.4304,0.8115,0.5625,0.9091
